Cell Type	Count
PP	356
PSC	444
Delta	793
Ductal	1290
Beta	2966
Acinar	1144
Alpha	3136
Epsilon	21
Endothelial	273
Macrophage	52
Schwann	13
Mast	25
T_cell	7
Mesenchymal	80
MHC class II	0
PP	282
PSC	73
Delta	188
Ductal	414
Beta	1006
Acinar	209
Alpha	2011
Epsilon	7
Endothelial	16
Macrophage	0
Schwann	0
Mast	7
T_cell	0
Mesenchymal	0
MHC class II	5
HomC	6930
preFC	497
RegC	3385
RepC	669
HTC	2474
preHTC 	201
FC	459
HomC	397
preFC	4423
RegC	184
RepC	2211
HTC	50
preHTC 	1994
FC	2266
  T	2769
  Fib	1648
  EC	2843
  SMC	1080
  Myeloid	1166
  B	439
  NK	394
  MSC	388
  Plasma	155
  Mast	78
  T	13323
  Fib	2816
  EC	3117
  SMC	2801
  Myeloid	8941
  B	1169
  NK	1110
  MSC	857
  Plasma	814
  Mast	451
astrocyte	3843
brain pericyte	767
endothelial cell	2987
ependymal cell	119
macrophage	170
microglial cell	4669
neuron	28241
olfactory ensheathing cell	16
oligodendrocyte	7178
oligodendrocyte precursor cell	811
astrocyte	1059
brain pericyte	281
endothelial cell	392
ependymal cell	79
macrophage	96
microglial cell	275
neuron	3584
olfactory ensheathing cell	107
oligodendrocyte	1485
oligodendrocyte precursor cell	36
  Alpha	947
  Beta	646
  Delta	33
  Ductal	3769
  Epsilon	89
  Fev+ Alpha	339
  Fev+ Beta	902
  Fev+ Delta	59
  Fev+ Epsilon	66
  Fev+ Pyy	100
  Mat. Acinar	108
  Multipotent	1224
  Ngn3 High early	771
  Ngn3 High late	1090
  Ngn3 low EP	2354
  Prlf. Acinar	3194
  Prlf. Ductal	1890
  Prlf. Tip	2284
  Prlf. Trunk	1168
  Tip	3815
  Trunk	617
  Alpha	481
  Beta	591
  Delta	70
  Ductal	499
  Epsilon	142
  Fev+ Alpha	6
  Fev+ Beta	457
  Fev+ Delta	51
  Fev+ Epsilon	46
  Fev+ Pyy	32
  Mat. Acinar	6959
  Multipotent	1
  Ngn3 High early	0
  Ngn3 High late	642
  Ngn3 low EP	262
  Prlf. Acinar	171
  Prlf. Ductal	417
  Prlf. Tip	0
  Prlf. Trunk	37
  Tip	6
  Trunk	16
adventitial cell	154
alveolar macrophage	200
aortic endothelial cell	118
astrocyte	107
atrial myocyte	100
B cell	7544
basal cell	899
basal cell of epidermis	3101
basal epithelial cell of tracheobronchial tree	187
basophil	36
Bergmann glial cell	14
bladder cell	816
bladder urothelial cell	1800
blood cell	0
brain pericyte	265
bronchial smooth muscle cell	1700
brush cell	89
Brush cell of epithelium proper of large intestine	54
bulge keratinocyte	691
cardiac neuron	19
cardiomyocyte	52
CD4-positive, alpha-beta T cell	459
CD8-positive, alpha-beta T cell	657
chondrocyte	14
ciliated columnar cell of tracheobronchial tree	30
classical monocyte	1061
club cell of bronchiole	9
dendritic cell	19
DN3 thymocyte	60
DN4 thymocyte	955
double negative T cell	341
duct epithelial cell	0
early pro-B cell	16
endocardial cell	178
endothelial cell	4141
endothelial cell of coronary artery	753
endothelial cell of hepatic sinusoid	357
endothelial cell of lymphatic vessel	24
enterocyte of epithelium of large intestine	814
enteroendocrine cell	39
ependymal cell	39
epidermal cell	131
epithelial cell	166
epithelial cell of large intestine	544
epithelial cell of proximal tubule	526
epithelial cell of thymus	83
erythroblast	208
erythrocyte	30
erythroid progenitor	1
fenestrated cell	240
fibroblast	379
fibroblast of cardiac tissue	1328
fibroblast of lung	335
fibrocyte	4
granulocyte	2812
granulocyte monocyte progenitor cell	136
granulocytopoietic cell	1443
hematopoietic precursor cell	334
hematopoietic stem cell	769
